slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online
bodegas-carchelo-jumilla,Bodegas Carchelo,Jumilla,Bodega,vino DO Jumilla,"Ctra. del Carche, km 11, Jumilla",Bodegas Carchelo es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,,,https://carchelo.com/,,https://www.instagram.com/bodegascarchelo/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Carchelo%2C%20Casas%20de%20la%20Hoya%2C%20S%2FN%2C%2030520%20Jumilla%2C%20Murcia&query_place_id=ChIJq6qqqqoPZA0RabKZIBsoH0A,38.4538442,-1.2212225,/productores/murcia/murcia/bodegas-carchelo-jumilla.webp,parcial,sí
casa-rojo-jumilla,Casa Rojo,Jumilla,Bodega,vino de monastrell y enoturismo,"Paraje La Raja, Jumilla",Casa Rojo es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,,,https://casarojo.com/,,https://www.instagram.com/casarojo/,https://www.google.com/maps/search/?api=1&query=Casa%20Rojo.%20Bodega%20Paraje%20de%20La%20Raja%2C%20Carretera%20de%20La%20Zarza%2C%20s%2Fn%2C%2030520%20Jumilla%2C%20Murcia&query_place_id=ChIJL5sQ4h0LZA0RW9LINQ9z8Qk,38.3107320,-1.2258000,/productores/murcia/murcia/casa-rojo-jumilla.webp,parcial,sí
bodega-monastrell-bullas,Bodega Monastrell,Cehegín,Bodega,vino DO Bullas,"30430 Cehegín, Murcia",Bodega Monastrell es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,,,https://bodegamonastrell.com/,,,https://www.google.com/maps/search/?api=1&query=Bodega%20Monastrell%2C%2030430%20Ceheg%C3%ADn%2C%20Murcia&query_place_id=ChIJrRNDestXZA0R1Ma1Efc1Ask,37.9824966,-1.7129343,/productores/murcia/murcia/bodega-monastrell-bullas.webp,parcial,no
bodegas-lavia-bullas,Bodegas Lavia,Cehegín,Bodega,vino ecológico DO Bullas,"Paraje Venta del Pino, Bullas",Bodegas Lavia es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,,,https://bodegaslavia.com/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Lavia%2C%20Paraje%20Venta%20del%20Pino%2C%20s%2Fn%2C%2030430%20Ceheg%C3%ADn%2C%20Murcia&query_place_id=ChIJzxvF5_tZZA0Rb4ZzfjwrbAU,38.0001871,-1.7352819,,parcial,no
bodegas-delampa-yecla,Bodegas Delampa,Jumilla,Bodega,vino DO Yecla,"Carretera de Jumilla a Yecla Km 79, 3, 30520 Jumilla, Murcia",Bodegas Delampa es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,,,https://delampa.es/,,,https://www.google.com/maps/search/?api=1&query=Delampa%20-%20Bodegas%20Jumilla%2C%20Carretera%20de%20Jumilla%20a%20Yecla%20Km%2079%2C%203%2C%2030520%20Jumilla%2C%20Murcia&query_place_id=ChIJzYLXx6UGZA0RmFDhRAoPzrI,38.5492883,-1.2831985,,parcial,sí
cervezas-estrella-de-levante-murcia,Cervezas Estrella de Levante,Murcia,Cerveza artesana,cerveza lager y cerveza especial,"C/ Mayor, 171, Espinardo, Murcia","Cervezas Estrella de Levante es un productor local de cerveza en Murcia, dentro de la Región de Murcia.",,+34968307000,,https://www.estrelladelevante.es/,,https://www.instagram.com/estrelladelevanteoficial/,https://www.google.com/maps/search/?api=1&query=Estrella%20de%20Levante%20F%C3%A1brica%20de%20Cerveza%2C%20C.%20Mayor%2C%20171%2C%2030100%20Murcia&query_place_id=ChIJERWYiJuBYw0Rmi2nWwfslH8,38.0138670,-1.1585306,/productores/murcia/murcia/cervezas-estrella-de-levante-murcia.webp,parcial,no
yakka-murcia,Yakka,Murcia,Cerveza artesana,cerveza artesana,"Carretera Alicante Poligono Peñamar, Naves 6 y 7, 30007 Murcia","Yakka es un productor local de cerveza en Murcia, dentro de la Región de Murcia.",,,,https://cervezasyakka.com/,,https://www.instagram.com/yakkabeer/,https://www.google.com/maps/search/?api=1&query=Cervezas%20Yakka%2C%20Carretera%20Alicante%20Poligono%20Pe%C3%B1amar%2C%20Naves%206%20y%207%2C%2030007%20Murcia&query_place_id=ChIJ9ftqFSEIZA0R4RF6e9rZ0LU,38.0044088,-1.1103345,/productores/murcia/murcia/yakka-murcia.webp,parcial,sí
cerveza-icue-cartagena,Cerveza Icue,Cartagena,Cerveza artesana,cerveza artesana de Cartagena,"C. Uruguay, 4, 30300 Cartagena, Murcia","Cerveza Icue es un productor artesano de cerveza de Cartagena, actualmente inactivo o fuera de producción.",,,,,,,https://www.google.com/maps/search/?api=1&query=Cerveza%20Icue%2C%20C.%20Uruguay%2C%204%2C%2030300%20Cartagena%2C%20Murcia&query_place_id=ChIJTXaNN9hpYw0R5FrXUJjue4U,37.6362855,-1.0098551,,parcial,no
deortegas-yecla,Deortegas,Yecla,Aceite,aceite de oliva virgen extra ecológico,"Carretera del Pinoso Camino del Ardal, Km. 5, 30510 Yecla, Murcia","Deortegas es un productor local de aceite en Yecla, dentro de la Región de Murcia.",,,,https://www.deortegas.com/,,https://www.instagram.com/deortegas/,https://www.google.com/maps/search/?api=1&query=Deortegas%2C%20Carretera%20del%20Pinoso%20Camino%20del%20Ardal%2C%20Km.%205%2C%2030510%20Yecla%2C%20Murcia&query_place_id=ChIJUdpxeO77Yw0R4YlOsgdc3_U,38.5527049,-1.1201092,/productores/murcia/murcia/deortegas-yecla.webp,parcial,sí
casa-pareja-jumilla,Casa Pareja,Jumilla,Aceite,aceite de oliva virgen extra ecológico,"Camino de cieza, km 8.3 Apartado de correos 178, 30520 Jumilla, Murcia","Casa Pareja es un productor local de aceite en Jumilla, dentro de la Región de Murcia.",,,,https://www.casapareja.es/,,https://www.instagram.com/aceitecasapareja/,https://www.google.com/maps/search/?api=1&query=S.A.T.%20N%C3%BAmero%201870%20Casa%20Pareja%2C%20Camino%20de%20cieza%2C%20km%208.3%20Apartado%20de%20correos%20178%2C%2030520%20Jumilla%2C%20Murcia&query_place_id=ChIJndbmHIEPZA0RzoQVOZhFeFE,38.4000332,-1.3760655,/productores/murcia/murcia/casa-pareja-jumilla.webp,parcial,sí
olivares-del-sur-abanilla,Olivares del Sur,Abanilla,Aceite,aceite de oliva virgen extra y miel,"Paraje Vereda del Bureite, S/N, 30640 Abanilla, Murcia","Olivares del Sur es un productor local de aceite en Abanilla, dentro de la Región de Murcia.",,,,https://olivaresdelsur.es/,,,,,,,parcial,no comprobado
almazara-la-purisima-yecla,Almazara La Purísima,Yecla,Aceite,aceite de oliva virgen extra,"Av. de la Paz, Yecla","Almazara La Purísima es un productor local de aceite en Yecla, dentro de la Región de Murcia.",,,,https://www.bodegaslapurisima.com/,,,https://www.google.com/maps/search/?api=1&query=Bodega%20y%20almazara%20La%20Pur%C3%ADsima%2C%20Tr.%C2%AA%20Pinoso%203%2C%2030510%20Yecla%2C%20Murcia&query_place_id=ChIJPwbHQ6z9Yw0R0krSQ-ABxsI,38.6093758,-1.1031604,,parcial,sí
almazara-san-diego-lorca,Almazara San Diego,Lorca,Aceite,aceite de oliva virgen extra,"POLIGONO INDUSTRIAL EL DESCANSO, C. Alemania, 46, 30890 Puerto Lumbreras, Murcia","Almazara San Diego es un productor local de aceite en Lorca, dentro de la Región de Murcia.",,,,,,,https://www.google.com/maps/search/?api=1&query=Almazara%20San%20Diego%2C%20POLIGONO%20INDUSTRIAL%20EL%20DESCANSO%2C%20C.%20Alemania%2C%2046%2C%2030890%20Puerto%20Lumbreras%2C%20Murcia&query_place_id=ChIJqYIpb1neZA0RmVmFgLYuH0o,37.5877149,-1.7791830,,parcial,no comprobado
almazara-casa-de-la-ermita-jumilla,Almazara Casa de la Ermita,Jumilla,Aceite,aceite de oliva virgen extra,"Carretera MU-15-A, Km. 11, 1, 30520 Jumilla, Murcia","Almazara Casa de la Ermita es un productor local de aceite en Jumilla, dentro de la Región de Murcia.",,,,https://casadelaermita.com/es/,,https://www.instagram.com/casadelaermita/,https://www.google.com/maps/search/?api=1&query=Bodega%20Casa%20de%20la%20Ermita%20Enoturismo%2C%20Carretera%20MU-15-A%2C%20Km.%2011%2C%201%2C%2030520%20Jumilla%2C%20Murcia&query_place_id=ChIJt4Uxwf33Yw0RjIriDL_6a8Y,38.4606312,-1.1754715,/productores/murcia/murcia/almazara-casa-de-la-ermita-jumilla.webp,parcial,sí
queso-la-yerbera-lorca,Queso La Yerbera,Cartagena,Lácteos y quesos,queso curado a la almendra y queso de cabra,"Carr. Albujón, 11, Pozo Estrecho, Cartagena","Queso La Yerbera es un productor local de quesos y lácteos en Lorca, dentro de la Región de Murcia.",,,,https://www.quesolayerbera.com/es/,,https://www.instagram.com/quesolayerbera/,https://www.google.com/maps/search/?api=1&query=La%20Yerbera%2C%20Carr.%20Albuj%C3%B3n%2C%2011%2C%2030594%20Pozo%20Estrecho%2C%20Murcia&query_place_id=ChIJQ0cOVElpYw0RuF0WMdVo1hk,37.7138180,-1.0072064,,parcial,sí
quesos-ruperto-san-javier,Quesos Ruperto,San Javier,Lácteos y quesos,quesos artesanos de cabra,"Finca Casa Nueva, S/N, 30739 El Mirador, Murcia","Quesos Ruperto es un productor local de quesos y lácteos en San Javier, dentro de la Región de Murcia.",,,,https://quesosruperto.com/,,https://www.instagram.com/quesosruperto/,https://www.google.com/maps/search/?api=1&query=Quesos%20Ruperto%2C%20Finca%20Casa%20Nueva%2C%20S%2FN%2C%2030739%20El%20Mirador%2C%20Murcia&query_place_id=ChIJjU29McANYw0R_XKsi9Pc3fA,37.8321893,-0.8536841,/productores/murcia/murcia/quesos-ruperto-san-javier.webp,parcial,sí
quesos-palancares-bullas,Quesos Palancares,Bullas,Lácteos y quesos,queso de Murcia al vino y queso de cabra,"C/ Vega del Segura, S/N, Pol. Ind. Marimingo, 30180, Murcia","Quesos Palancares es un productor local de quesos y lácteos en Bullas, dentro de la Región de Murcia.",,,,https://quesospalancares.com/,,https://www.instagram.com/quesospalancares/,https://www.google.com/maps/search/?api=1&query=PALANCARES%20ALIMENTACION%20S.L.%2C%20C%2F%20Vega%20del%20Segura%2C%20S%2FN%2C%20Pol.%20Ind.%20Marimingo%2C%2030180%2C%20Murcia&query_place_id=ChIJ_____z9XZA0R8gjskKq25iM,38.0554657,-1.6555642,/productores/murcia/murcia/quesos-palancares-bullas.webp,parcial,no
central-quesera-montesinos-jumilla,Central Quesera Montesinos,Jumilla,Lácteos y quesos,queso de cabra y queso Murcia al vino,"C. Vereda Real, s/n, 30520 Jumilla, Murcia","Central Quesera Montesinos es un productor local de quesos y lácteos en Jumilla, dentro de la Región de Murcia.",,,,https://www.montesinos.es/,,,https://www.google.com/maps/search/?api=1&query=Central%20Quesera%20Montesinos%2C%20C.%20Vereda%20Real%2C%20s%2Fn%2C%2030520%20Jumilla%2C%20Murcia&query_place_id=ChIJS9Hry2MPZA0R5046ymkMOQU,38.4857688,-1.3184822,/productores/murcia/murcia/central-quesera-montesinos-jumilla.webp,parcial,no
queseria-el-roano-lorca,Quesería El Roano,Lorca,Lácteos y quesos,quesos artesanos de cabra,"Cam. de los Liebros, s/n, 30813 Purias, Murcia","Quesería El Roano es un productor local de quesos y lácteos en Lorca, dentro de la Región de Murcia.",,,,https://quesoselroano.eu/,,,https://www.google.com/maps/search/?api=1&query=Queser%C3%ADa%20Artesana%20El%20Roano%2C%20Cam.%20de%20los%20Liebros%2C%20s%2Fn%2C%2030813%20Purias%2C%20Murcia&query_place_id=ChIJpWK_o1zDZA0Rcsp4M-AHxVY,37.5927807,-1.6458806,/productores/murcia/murcia/queseria-el-roano-lorca.webp,parcial,sí
queseria-artesanal-ameco-murcia,Quesería Artesanal AMECO,Murcia,Lácteos y quesos,queso fresco artesano,"GRANJA AMECO, Paraje Hornera, 25, BAJO, 30500 Molina de Segura, Murcia","Quesería Artesanal AMECO es un productor local de quesos y lácteos en Murcia, dentro de la Región de Murcia.",,,,https://quesosameco.com/,,https://www.instagram.com/quesos_ameco/,https://www.google.com/maps/search/?api=1&query=Queser%C3%ADa%20Artesanal%20Ameco%2C%20GRANJA%20AMECO%2C%20Paraje%20Hornera%2C%2025%2C%20BAJO%2C%2030500%20Molina%20de%20Segura%2C%20Murcia&query_place_id=ChIJCUKrVpeHYw0R0TFOtMOWyIg,38.1141707,-1.1866517,/productores/murcia/murcia/queseria-artesanal-ameco-murcia.webp,parcial,no
queseria-el-cabecico-murcia,Quesería El Cabecico,Murcia,Lácteos y quesos,queso de cabra artesano,"Av. de Cabezo de Torres, 16, 30007 Murcia","Quesería El Cabecico es un productor local de quesos y lácteos en Murcia, dentro de la Región de Murcia.",,,,,,,https://www.google.com/maps/search/?api=1&query=Queser%C3%ADa%20Artesanal%20El%20Cabecico%20S.L.%2C%20Av.%20de%20Cabezo%20de%20Torres%2C%2016%2C%2030007%20Murcia&query_place_id=ChIJ0c0q5jaCYw0RwhrhutOZwxc,38.0110831,-1.1202503,,parcial,no comprobado
cooperativa-virgen-de-la-esperanza-calasparra,Cooperativa Virgen de la Esperanza,Calasparra,Arroz,arroz DOP Calasparra,"Av. Cooperativa del Campo Virgen de la Esperanza, 30420, Murcia",Cooperativa Virgen de la Esperanza trabaja arroz de Calasparra y variedades arroceras tradicionales de la Región de Murcia.,,,,https://www.arrozcalasparra.com/,,https://www.instagram.com/cooperativa_arroz_calas/,https://www.google.com/maps/search/?api=1&query=Avenida%20Cooperativa%20del%20Campo%20Virgen%20de%20la%20Esperanza%2C%20Av.%20Cooperativa%20del%20Campo%20Virgen%20de%20la%20Esperanza%2C%2030420%2C%20Murcia&query_place_id=ChIJO_La9ylJZA0Rm9-30U8bYag,38.2250350,-1.7155221,/productores/murcia/murcia/cooperativa-virgen-de-la-esperanza-calasparra.webp,parcial,sí
arroces-flor-de-calasparra-calasparra,Arroces Flor de Calasparra,Calasparra,Arroz,arroz bomba y arroz de Calasparra,"C. Ordóñez, 1, 30420 Calasparra, Murcia",Arroces Flor de Calasparra trabaja arroz de Calasparra y variedades arroceras tradicionales de la Región de Murcia.,,,,https://www.flordecalasparra.com/,,,https://www.google.com/maps/search/?api=1&query=Flor%20de%20Calasparra%2C%20C.%20Ord%C3%B3%C3%B1ez%2C%201%2C%2030420%20Calasparra%2C%20Murcia&query_place_id=ChIJ1ehUCcZIZA0RlQ3Q8aKk4fE,38.2314400,-1.7000533,,parcial,no
arroz-la-campana-calasparra,Arroz La Campana,Calasparra,Arroz,arroz de Calasparra,"Av. Juan Ramón Jiménez, 141, 30420 Calasparra, Murcia",Arroz La Campana trabaja arroz de Calasparra y variedades arroceras tradicionales de la Región de Murcia.,,,,https://www.arrozlacampana.com/,,,https://www.google.com/maps/search/?api=1&query=Arroz%20Calasparra%2C%20Av.%20Juan%20Ram%C3%B3n%20Jim%C3%A9nez%2C%20141%2C%2030420%20Calasparra%2C%20Murcia&query_place_id=ChIJ8YZ5XtFIZA0RLYw9VAR4E30,38.2255810,-1.7084998,,parcial,no
pimenton-la-pastora-murcia,Pimentón La Pastora,Murcia,Pimentón y especias,pimentón de Murcia,"Camino Viejo de Fortuna, 49, 30110 Cabezo de Torres, Murcia","Pimentón La Pastora elabora pimentón, especias y condimentos ligados a la tradición agroalimentaria murciana.",,,,https://la-pastora.com/,,https://www.instagram.com/lapastorapaprika/,https://www.google.com/maps/search/?api=1&query=La%20Pastora%2C%20Camino%20Viejo%20de%20Fortuna%2C%2049%2C%2030110%20Cabezo%20de%20Torres%2C%20Murcia&query_place_id=ChIJs-qODcWDYw0Ry5yBf4r2LaM,38.0323992,-1.1325785,/productores/murcia/murcia/pimenton-la-pastora-murcia.webp,parcial,sí
sabater-spices-murcia,Sabater Spices,Murcia,Pimentón y especias,"pimentón, especias y condimentos","Av. Alto de las Atalayas, 231, 30110 Cabezo de Torres, Murcia","Sabater Spices elabora pimentón, especias y condimentos ligados a la tradición agroalimentaria murciana.",,,,https://sabaterglobal.com/,,,https://www.google.com/maps/search/?api=1&query=Sabater%2C%20Av.%20Alto%20de%20las%20Atalayas%2C%20231%2C%2030110%20Cabezo%20de%20Torres%2C%20Murcia&query_place_id=ChIJZ_9jWZSDYw0R-dQN9v7EV9s,38.0401779,-1.1140360,,parcial,no
pimenton-santo-domingo-totana,Pimentón Santo Domingo,Totana,Pimentón y especias,pimentón y ñora,"C. Huertos Nuevos, 30850 Totana, Murcia","Pimentón Santo Domingo elabora pimentón, especias y condimentos ligados a la tradición agroalimentaria murciana.",,,,,,,,,,,parcial,no comprobado
caprichos-del-paladar-murcia,Caprichos del Paladar,Murcia,Conservas,"alcachofa, conservas vegetales y encurtidos","Ctra. de la Estación, 26, Alquerías, Murcia","Caprichos del Paladar es un productor local de conservas en Murcia, dentro de la Región de Murcia.",,,,https://caprichosdelpaladar.com/,,https://www.instagram.com/caprichosdelpaladar/,https://www.google.com/maps/search/?api=1&query=Caprichos%20del%20Paladar%20S.L.U.%2C%20Ctra.%20Estaci%C3%B3n%2C%2026%2C%2030580%20Alquer%C3%ADas%2C%20Murcia&query_place_id=ChIJD2nfOxudYw0RmxYAJ0jaTEA,38.0093988,-1.0307352,/productores/murcia/murcia/caprichos-del-paladar-murcia.webp,parcial,no
alcurnia-alimentacion-molina-de-segura,Alcurnia Alimentación,Molina de Segura,Conservas,conservas vegetales,"Av. de las Industrias, s/n, 30500 Molina de Segura, Murcia","Alcurnia Alimentación es un productor local de conservas en Molina de Segura, dentro de la Región de Murcia.",,,,https://www.alcurnia.com/,,,https://www.google.com/maps/search/?api=1&query=Alcurnia%20(PROJOCCE)%2C%20Av.%20de%20las%20Industrias%2C%20s%2Fn%2C%2030500%20Molina%20de%20Segura%2C%20Murcia&query_place_id=ChIJdQyBEFN_ZA0RFBKUJd-_WiQ,38.0548112,-1.2181789,/productores/murcia/murcia/alcurnia-alimentacion-molina-de-segura.webp,parcial,no
conservas-el-raal-murcia,Conservas El Raal,Murcia,Conservas,conservas vegetales murcianas,"Vereda Simones, 14, 30139 El Raal, Murcia","Conservas El Raal es un productor local de conservas en Murcia, dentro de la Región de Murcia.",,,,https://conservaselraal.com/,,https://www.instagram.com/conservaselraal/,https://www.google.com/maps/search/?api=1&query=Conservas%20El%20Raal%2C%20Vereda%20Simones%2C%2014%2C%2030139%20El%20Raal%2C%20Murcia&query_place_id=ChIJHQ0vO5CcYw0RVKWnJm3QWaM,38.0462775,-1.0305223,/productores/murcia/murcia/conservas-el-raal-murcia.webp,parcial,sí
salazones-garre-san-pedro-del-pinatar,Salazones Garre,San Pedro del Pinatar,Pescado y conservas,salazones y ahumados,"Avda. Dr. Artero Guirao, 254, San Pedro del Pinatar","Salazones Garre es un productor local de pescado y conservas en San Pedro del Pinatar, dentro de la Región de Murcia.",,,,https://salazonesgarre.com/,,https://www.instagram.com/salazonesgarre/,https://www.google.com/maps/search/?api=1&query=Garre%20Salazones%2C%20Av.%20Dr.%20Artero%20Guirao%2C%20254%2C%2030740%20San%20Pedro%20del%20Pinatar%2C%20Murcia&query_place_id=ChIJCTmVB0wOYw0RCUWcJcdWCxk,37.8285497,-0.8023744,/productores/murcia/murcia/salazones-garre-san-pedro-del-pinatar.webp,parcial,sí
salazones-diego-san-pedro-del-pinatar,Salazones Diego,San Pedro del Pinatar,Pescado y conservas,salazones del Mar Menor,"Cl. Diego Albaladejo, 2, 30740 San Pedro del Pinatar, Murcia","Salazones Diego es un productor local de pescado y conservas en San Pedro del Pinatar, dentro de la Región de Murcia.",,,,https://www.salazonesdiego.com/,,https://www.instagram.com/salazonesdiego/,https://www.google.com/maps/search/?api=1&query=Salazones%20Diego%2C%20Cl.%20Diego%20Albaladejo%2C%202%2C%2030740%20San%20Pedro%20del%20Pinatar%2C%20Murcia&query_place_id=ChIJ0S0d0r0TYw0R_H68Rjf8yMI,37.8219967,-0.8106903,/productores/murcia/murcia/salazones-diego-san-pedro-del-pinatar.webp,parcial,sí
ricardo-fuentes-e-hijos-cartagena,Ricardo Fuentes e Hijos,Cartagena,Pescado y conservas,atún rojo y productos del mar,"La Palma, Cartagena","Ricardo Fuentes e Hijos es un productor local de pescado y conservas en Cartagena, dentro de la Región de Murcia.",,,,https://ricardofuentes.es/,,https://www.instagram.com/salazonesricardofuentes/,https://www.google.com/maps/search/?api=1&query=Grupo%20Ricardo%20Fuentes%2C%20Paraje%20Los%20Marines%20s%2Fn%2C%2030593%20La%20Palma%2C%20Murcia&query_place_id=ChIJK62sU91BYw0RHm8iwTeKd-U,37.6755278,-0.9696209,/productores/murcia/murcia/ricardo-fuentes-e-hijos-cartagena.webp,parcial,sí
